STEM,ORIGINAL,TRANSLATED,VALENCE,AROUSAL,DOMINANCE
быстроходный катер,speedboat,быстроходный катер,0.635,0.858,0.612
превышение скор,speeding,превышение скорости,0.438,0.908,0.645
спидометр,speedometer,спидометр,0.427,0.549,0.579
спидв,speedway,спидвей,0.667,0.519,0.416
орфограф,spell,орфографии,0.385,0.380,0.368
заворожен,spellbound,завороженный,0.531,0.647,0.387
написан,spelling,написание,0.594,0.357,0.398
спенсер,spencer,спенсер,0.510,0.394,0.367
расточител,spender,расточитель,0.312,0.692,0.377
потрачен,spent,потраченный,0.296,0.296,0.263
сферическ,spherical,сферический,0.550,0.308,0.500
сфинктер,sphincter,сфинктер,0.347,0.633,0.375
сфинкс,sphinx,сфинкс,0.604,0.324,0.490
латиноамериканец,spic,латиноамериканец,0.302,0.455,0.451
пряност,spice,пряность,0.594,0.439,0.384
паук,spider,паук,0.229,0.569,0.430
Spiffy,spiffy,Spiffy,0.615,0.582,0.470
колос,spike,колос,0.382,0.510,0.408
с шип,spiked,с шипами,0.281,0.613,0.407
остроконечн,spiky,остроконечный,0.284,0.657,0.587
пролива,spill,проливать,0.408,0.633,0.456
шпинат,spinach,шпинат,0.583,0.200,0.368
спинномозгов,spinal,спинномозговой,0.312,0.491,0.296
шпиндел,spindle,шпиндель,0.552,0.410,0.360
бесхарактерн,spineless,бесхарактерный,0.344,0.387,0.321
волчок,spinner,волчок,0.458,0.593,0.471
спиннинг,spinning,спиннинг,0.594,0.610,0.481
незамужняя женщин,spinster,незамужняя женщина,0.357,0.368,0.345
шпил,spire,шпиль,0.354,0.358,0.389
духовн,spiritual,духовный,0.938,0.327,0.564
злобн,spiteful,злобный,0.073,0.710,0.330
вспыльчив,spitfire,вспыльчивый,0.233,0.623,0.566
плевательниц,spittoon,плевательница,0.276,0.426,0.280
всплеск,splash,всплеск,0.521,0.412,0.281
восклицательный знак,splat,восклицательный знак,0.510,0.433,0.385
селезенк,spleen,селезенка,0.448,0.255,0.396
сплайн,spline,сплайн,0.490,0.398,0.407
лубок,splint,лубок,0.179,0.400,0.343
пускать пыль в глаз,splurge,пускать пыль в глаза,0.365,0.481,0.542
спойлер,spoiler,спойлер,0.347,0.527,0.380
порч,spoiling,порча,0.135,0.678,0.306
докладчик,spokesperson,докладчик,0.573,0.453,0.615
губк,sponge,губка,0.551,0.192,0.219
губчат,spongy,губчатый,0.469,0.324,0.344
спонсор,sponsor,спонсор,0.729,0.537,0.800
спонсорств,sponsorship,спонсорство,0.854,0.608,0.696
спонтан,spontaneity,спонтанность,0.817,0.698,0.655
спонта,spontaneous,спонтанный,0.780,0.578,0.655
шпул,spool,шпуля,0.397,0.389,0.312
ложк,spoon,ложка,0.479,0.236,0.259
спорадическ,sporadic,спорадический,0.333,0.394,0.500
спорт,sport,спорт,0.865,0.700,0.657
виды спорт,sports,виды спорта,0.833,0.683,0.587
спортивная машин,sports car,спортивная машина,0.759,0.696,0.669
незапятна,spotless,незапятнанный,0.792,0.327,0.726
корректировщик,spotter,корректировщик,0.542,0.491,0.644
супружеств,spousal,супружество,0.656,0.582,0.632
супруг,spouse,супруг,0.750,0.600,0.645
носик,spout,носик,0.438,0.357,0.309
растяжение связок,sprain,растяжение связок,0.063,0.580,0.384
растягива,sprawl,растягиваться,0.600,0.596,0.672
спре,spray,спрей,0.438,0.410,0.333
распространител,spreader,распространитель,0.510,0.480,0.500
весн,spring,весна,0.837,0.370,0.481
кроп,sprinkle,кропить,0.635,0.404,0.380
разбрызгивател,sprinkler,разбрызгиватель,0.510,0.434,0.473
дождеван,sprinkling,дождевание,0.677,0.510,0.466
спринт,sprint,спринт,0.549,0.649,0.528
росток,sprout,росток,0.582,0.565,0.443
окучива,spud,окучивать,0.403,0.423,0.349
трут,spunk,трут,0.438,0.632,0.473
шпор,spur,шпора,0.378,0.545,0.340
поддельн,spurious,поддельный,0.178,0.480,0.343
стимулирова,spurred,стимулировало,0.562,0.684,0.472
рывок,spurt,рывок,0.448,0.550,0.475
эскадрил,squadron,эскадрилья,0.469,0.686,0.787
шквал,squall,шквал,0.191,0.833,0.655
разбазарива,squander,разбазаривать,0.240,0.755,0.529
квадрат,square,квадрат,0.509,0.340,0.291
сквош,squash,сквош,0.531,0.667,0.410
приземист,squat,приземистый,0.330,0.550,0.453
скваттер,squatter,скваттер,0.390,0.361,0.565
индианк,squaw,индианка,0.428,0.441,0.398
пронзительный крик,squawk,Пронзительный крик,0.265,0.480,0.245
брезглив,squeamish,брезгливый,0.176,0.656,0.453
выжима,squeeze,выжимать,0.458,0.676,0.532
шумоподавлен,squelch,шумоподавление,0.271,0.510,0.462
оруженосец,squire,оруженосец,0.479,0.459,0.710
извива,squirm,извиваться,0.235,0.824,0.373
белк,squirrel,белка,0.592,0.358,0.333
спринцовк,squirt,спринцовка,0.406,0.460,0.255
хлюпа,squish,хлюпать,0.260,0.788,0.481
болотист,squishy,болотистый,0.516,0.333,0.307
удар нож,stab,удар ножом,0.167,0.882,0.595
заколол,stabbed,заколол,0.031,0.875,0.431
стабильн,stability,стабильность,0.812,0.264,0.849
стабилизирова,stabilize,стабилизировать,0.839,0.427,0.722
стабилизатор,stabilizer,стабилизатор,0.688,0.353,0.767
стаккат,staccato,стаккато,0.396,0.500,0.427
стек,stack,стек,0.470,0.282,0.427
сцен,stage,сцена,0.592,0.306,0.473
дилижанс,stagecoach,дилижанс,0.516,0.519,0.627
рабочий сц,stagehand,рабочий сцены,0.420,0.684,0.555
вертячк,stagger,вертячка,0.531,0.620,0.458
застойн,stagnant,застойный,0.300,0.500,0.208
заст,stagnation,застой,0.276,0.324,0.396
запятна,stained,запятнанный,0.245,0.460,0.209
нержавеющ,stainless,нержавеющий,0.594,0.329,0.618
лестничная клетк,stairwell,лестничная клетка,0.510,0.292,0.333
разбивочн,stakeout,разбивочных,0.344,0.546,0.600
несвеж,stale,несвежий,0.235,0.461,0.286
безвыходное положен,stalemate,безвыходное положение,0.296,0.354,0.267
стебелек,stalk,стебелек,0.436,0.272,0.395
сталкер,stalker,Сталкер,0.177,0.930,0.639
стойл,stall,стойло,0.370,0.245,0.292
жеребец,stallion,жеребец,0.628,0.596,0.779
росл,stalwart,рослый,0.812,0.430,0.691
паническое бегств,stampede,паническое бегство,0.235,0.875,0.683
позиц,stance,позиция,0.604,0.333,0.609
стоя,stand,стоять,0.600,0.324,0.509
стандарт,standard,стандарт,0.673,0.143,0.605
стандартизирова,standardize,стандартизировать,0.684,0.353,0.729
нормирова,standardized,нормированный,0.610,0.324,0.607
точка зрен,standpoint,точка зрения,0.585,0.388,0.652
встаньт,standup,Встаньте,0.633,0.583,0.550
строф,stanza,строфа,0.612,0.343,0.297
стафилококк,staph,стафилококк,0.375,0.480,0.412
штапел,staple,штапель,0.542,0.306,0.438
стэплер,stapler,стэплер,0.370,0.264,0.394
звезд,star,звезда,0.833,0.418,0.560
звездный плод,star fruit,звездный плод,0.701,0.433,0.427
правый борт,starboard,правый борт,0.531,0.388,0.558
крахма,starch,крахмал,0.507,0.354,0.312
звездная пыл,stardust,звездная пыль,0.843,0.410,0.549
глазет,stare,глазеть,0.541,0.430,0.538
морская звезд,starfish,морская звезда,0.680,0.320,0.421
восходящая звезд,starlet,восходящая звезда,0.806,0.471,0.587
звездный свет,starlight,Звездный свет,0.908,0.368,0.611
скворец,starling,скворец,0.500,0.490,0.514
звездн,starry,звездный,0.438,0.643,0.434
звездолет,starship,звездолет,0.740,0.719,0.704
стартер,starter,стартер,0.667,0.461,0.827
поразительн,startling,поразительный,0.750,0.768,0.830
голода,starve,голодать,0.073,0.729,0.402
изморенный голод,starved,изморенный голод,0.097,0.689,0.219
государств,state,государство,0.562,0.320,0.604
отдельная кают,stateroom,отдельная каюта,0.653,0.380,0.441
в сша,stateside,в США,0.643,0.480,0.708
государственный деятел,statesman,государственный деятель,0.510,0.490,0.736
статическ,static,статический,0.297,0.250,0.366
статик,statics,статика,0.542,0.290,0.527
станц,station,станция,0.688,0.367,0.519
стационарн,stationary,стационарный,0.408,0.240,0.484
канцелярские товар,stationery,канцелярские товары,0.570,0.120,0.455
статистик,statistic,статистика,0.508,0.420,0.609
статистическ,statistical,статистический,0.714,0.353,0.627
статор,stator,статор,0.281,0.453,0.557
скульптурн,statuary,скульптурный,0.561,0.281,0.500
стату,statue,статуя,0.542,0.153,0.570
положение дел,status,положение дел,0.658,0.377,0.588
статут,statute,статут,0.592,0.330,0.673
палк,stave,палка,0.417,0.333,0.424
земельная собствен,stead,земельная собственность,0.551,0.214,0.510
неуклон,steady,неуклонный,0.680,0.186,0.763
стейк,steak,стейк,0.625,0.359,0.315
стейк-хаус,steakhouse,стейк-хаус,0.802,0.379,0.547
украст,steal,украсть,0.021,0.856,0.528
краж,stealing,кража,0.086,0.913,0.455
украдк,stealthily,украдкой,0.763,0.294,0.458
стим,steam,Стим,0.469,0.413,0.421
пароход,steamboat,пароход,0.708,0.500,0.633
пароварк,steamer,пароварка,0.510,0.442,0.528
пропариван,steaming,пропаривания,0.592,0.553,0.402
пробиваться с бо,steamroller,пробиваться с боями,0.396,0.567,0.667
рулевое управлен,steering,рулевое управление,0.580,0.431,0.660
стебел,stem,стебель,0.615,0.191,0.336
зловон,stench,зловоние,0.104,0.570,0.298
стенографистк,stenographer,стенографистка,0.510,0.408,0.589
шаг,step,шаг,0.531,0.321,0.347
падчериц,stepdaughter,падчерица,0.510,0.510,0.432
отч,stepfather,отчим,0.396,0.491,0.611
мачех,stepmother,мачеха,0.427,0.530,0.484
степ,steppe,степь,0.427,0.321,0.379
мер,steps,меры,0.511,0.349,0.373
пасынок,stepson,пасынок,0.614,0.406,0.480
стере,stereo,стерео,0.617,0.519,0.500
стереоскопическ,stereoscopic,стереоскопический,0.363,0.417,0.574
стереотип,stereotype,стереотип,0.151,0.422,0.612
стереотипн,stereotyped,стереотипный,0.375,0.510,0.436
стерильн,sterile,стерильный,0.302,0.471,0.291
стерилизова,sterilize,стерилизовать,0.406,0.510,0.520
стерлинг,sterling,стерлинг,0.529,0.481,0.615
грудин,sternum,грудина,0.520,0.422,0.436
стероид,steroid,стероид,0.360,0.706,0.681
стетоскоп,stethoscope,стетоскоп,0.427,0.377,0.490
